"시도(1)",시도(2),시도(3),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009
"시도(1)",시도(2),시도(3),총계,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,음식물류폐기물분리배출
"시도(1)",시도(2),시도(3),소계,소계,가연성,가연성,가연성,가연성,가연성,가연성,가연성,불연성,불연성,불연성,불연성,불연성,소계,종이류,폐유리병류,캔류,플라스틱류,합성수지류,폐전기전자제품,폐전지류,타이어,윤활유,폐형광등,고철류,폐의류,영농폐기물,폐가구류,기타,소계
"시도(1)",시도(2),시도(3),소계,소계,소계,음식물류폐기물,폐지류,폐목재류,폐고무류,플라스틱류,기타,소계,폐유리류,폐금속류,폐토사류,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"대전",처리량,소 각,228.6,228.6,214.2,0.0,37.9,5.6,4.4,30.9,135.4,14.4,0.9,10.1,0.4,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
"대전",처리량,재활용,853.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.6,154.5,82.9,16.6,61.3,42.1,1.0,0.0,0.0,0.0,0.6,57.6,1.5,0.4,0.0,15.1,420.0
"울산",발생량,소계,997.8,323.7,281.3,0.0,110.6,14.9,14.6,41.5,99.7,42.4,11.0,5.6,14.3,11.5,406.6,110.6,70.3,44.1,31.1,35.9,0.6,0.1,0.2,0.0,1.4,86.9,7.1,1.4,1.7,15.2,267.5
"울산",처리량,매 립,121.5,121.5,79.1,0.0,28.7,2.2,5.2,11.9,31.1,42.4,11.0,5.6,14.3,11.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
"울산",처리량,소 각,265.2,202.2,202.2,0.0,81.9,12.7,9.4,29.6,68.6,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.0
"울산",처리량,재활용,611.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.6,110.6,70.3,44.1,31.1,35.9,0.6,0.1,0.2,0.0,1.4,86.9,7.1,1.4,1.7,15.2,204.5
"경기",발생량,소계,8381.7,3225.8,2969.2,0.9,1201.9,342.6,252.7,397.8,773.3,256.6,32.0,31.7,39.2,153.7,2428.0,796.3,536.8,150.5,280.8,168.8,41.7,0.5,0.6,0.0,5.2,199.4,30.2,42.1,20.9,154.2,2727.9
"경기",처리량,매 립,821.5,813.1,574.0,0.3,185.4,42.7,35.6,69.5,240.5,239.1,28.5,24.9,36.9,148.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.4
"경기",처리량,소 각,2520.5,2408.7,2394.4,0.6,1016.3,299.7,217.1,328.3,532.4,14.3,3.5,3.6,2.3,4.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111.8
"경기",처리량,재활용,5039.7,4.0,0.8,0.0,0.2,0.2,0.0,0.0,0.4,3.2,0.0,3.2,0.0,0.0,2428.0,796.3,536.8,150.5,280.8,168.8,41.7,0.5,0.6,0.0,5.2,199.4,30.2,42.1,20.9,154.2,2607.7
"강원",발생량,소계,1886.9,894.9,687.8,43.1,185.8,64.6,40.3,116.5,237.5,207.1,18.9,26.3,41.4,120.5,689.1,212.9,67.2,36.8,37.4,27.6,8.4,0.4,12.6,0.8,2.9,173.7,20.9,42.7,25.8,19.0,302.9
"강원",처리량,매 립,698.3,695.5,529.2,34.5,149.7,45.4,29.6,98.7,171.3,166.3,17.5,23.4,40.7,84.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.8
"강원",처리량,소 각,116.0,115.1,114.1,4.2,32.0,19.2,10.4,15.6,32.7,1.0,0.0,0.0,0.7,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9
"강원",처리량,재활용,1072.6,84.3,44.5,4.4,4.1,0.0,0.3,2.2,33.5,39.8,1.4,2.9,0.0,35.5,689.1,212.9,67.2,36.8,37.4,27.6,8.4,0.4,12.6,0.8,2.9,173.7,20.9,42.7,25.8,19.0,299.2
"충북",발생량,소계,1513.1,727.2,515.6,7.6,153.4,84.2,20.3,23.2,226.9,211.6,12.0,8.7,92.6,98.3,485.9,125.2,43.8,15.8,29.7,72.0,3.2,0.0,0.0,0.0,0.6,135.6,1.6,34.9,11.2,12.3,300.0
"충북",처리량,매 립,336.7,331.1,127.7,4.6,9.1,3.5,3.0,4.6,102.9,203.4,11.6,8.3,87.5,96.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.6
"충북",처리량,소 각,304.4,289.8,289.5,0.0,141.3,80.4,16.4,18.0,33.4,0.3,0.0,0.0,0.0,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.6
"충북",처리량,재활용,872.0,106.3,98.4,3.0,3.0,0.3,0.9,0.6,90.6,7.9,0.4,0.4,5.1,2.0,485.9,125.2,43.8,15.8,29.7,72.0,3.2,0.0,0.0,0.0,0.6,135.6,1.6,34.9,11.2,12.3,279.8
"충남",발생량,소계,1855.6,922.7,697.8,32.7,220.6,59.0,49.4,136.3,199.8,224.9,33.4,44.9,38.2,108.4,508.9,122.5,65.6,21.8,37.9,26.9,11.9,0.9,0.4,0.0,6.6,140.2,6.3,36.2,11.0,20.7,424.0
"충남",처리량,매 립,421.7,415.0,199.5,25.3,52.8,16.2,9.3,15.8,80.1,215.5,31.6,39.8,37.9,106.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.7
