"","거래일자","종목명","종가"
"266",20210104,"다나와",30250
"267",20210104,"다날",4835
"268",20210104,"다믈멀티미디어",3600
"269",20210104,"다산네트웍스",13700
"270",20210104,"다스코보통주",5080
"271",20210104,"다우기술보통주",22450
"272",20210104,"다우데이타",12950
"273",20210104,"다원넥스뷰",19500
"274",20210104,"다원시스",21350
"275",20210104,"다이노나",4580
"276",20210104,"다이오진",2240
"277",20210104,"단디바이오사이언스",6390
"278",20210104,"대교보통주",3655
"279",20210104,"대구백화점보통주",8890
"280",20210104,"대덕보통주",6920
"281",20210104,"대덕전자보통주",12650
"282",20210104,"대동고려삼 주식회사",4025
"283",20210104,"대동공업보통주",7120
"284",20210104,"대동금속",9280
"285",20210104,"대동기어",3725
"286",20210104,"대동스틸",4895
"287",20210104,"대동전자보통주",4425
"288",20210104,"대륙제관",4640
"289",20210104,"대림B&Co보통주",6350
"290",20210104,"대림건설보통주",31200
"291",20210104,"대림제지",9770
"292",20210104,"대림통상보통주",3950
"293",20210104,"대명소노시즌",1235
"294",20210104,"대모엔지니어링",4565
"295",20210104,"대보마그네틱",38000
"296",20210104,"대봉엘에스",11400
"297",20210104,"대상보통주",25800
"298",20210104,"대상홀딩스 보통주",10150
"299",20210104,"대성미생물연구소",16400
"300",20210104,"대성산업보통주",3155
"301",20210104,"대성에너지보통주",5340
"302",20210104,"대성엘텍",1185
"303",20210104,"대성창업투자",1970
"304",20210104,"대성파인텍",2365
"305",20210104,"대성홀딩스보통주",25350
"306",20210104,"대신밸런스제7호기업인수목적",2145
"307",20210104,"대신밸런스제8호기업인수목적",2085
"308",20210104,"대신밸런스제9호기업인수목적",2090
"309",20210104,"대신정보통신",1900
"310",20210104,"대신증권보통주",12750
"311",20210104,"대아티아이",6020
"312",20210104,"대양금속보통주",3975
"313",20210104,"대양전기공업",16150
"314",20210104,"대양제지공업",3150
"315",20210104,"대영포장보통주",1610
"316",20210104,"대우건설보통주",5150
"317",20210104,"대우전자부품보통주",2800
"318",20210104,"대우조선해양보통주",27850
"319",20210104,"대웅보통주",53200
"320",20210104,"대웅제약보통주",172000
"321",20210104,"대원",9440
"322",20210104,"대원강업보통주",3895
"323",20210104,"대원미디어",9160
"324",20210104,"대원산업",5570
"325",20210104,"대원전선보통주",1400
"326",20210104,"대원제약보통주",19250
"327",20210104,"대원화성보통주",1770
"328",20210104,"대유",12700
"329",20210121,"대유에이텍",1255
"330",20210104,"대유에이피",7560
"331",20210104,"대정화금",37050
"332",20210104,"대주산업",2195
"333",20210104,"대주이엔티 주식회사",1385
"334",20210104,"대주전자재료",47650
"335",20210104,"대창단조보통주",6830
"336",20210104,"대창보통주",1600
"337",20210104,"대창스틸",2570
"338",20210104,"대한과학",21600
"339",20210104,"대한광통신",3925
"340",20210104,"대한그린파워",1045
"341",20210104,"대한뉴팜",12600
"342",20210104,"대한방직보통주",39800
"343",20210104,"대한약품공업",32350
"344",20210104,"대한유화보통주",234000
"345",20210104,"대한전선보통주",1385
"346",20210104,"대한제강 보통주",10700
"347",20210104,"대한제당보통주",22500
"348",20210104,"대한제분보통주",163000
"349",20210104,"대한항공보통주",27650
"350",20210104,"대한해운보통주",3175
"351",20210104,"대한화섬보통주",103500
"352",20210104,"대현보통주",1845
"353",20210104,"대호에이엘보통주",2600
"354",20210104,"대화제약",15300
"355",20210104,"더 미동",2035
"356",20210104,"더네이쳐홀딩스",38850
"357",20210104,"더블유게임즈보통주",60200
"358",20210104,"더블유아이",1395
"359",20210104,"더블유에스아이",3490
"360",20210104,"더이앤엠",1215
"361",20210104,"더존비즈온보통주",106000
"362",20210104,"더콘텐츠온",10650
"363",20210104,"덕산네오룩스",35000
"364",20210104,"덕산테코피아",18750
"365",20210104,"덕산하이메탈",12950
"366",20210104,"덕성보통주",8100
"367",20210104,"덕신하우징",1610
"368",20210104,"덕양산업보통주",1850
"369",20210104,"덕우전자",8030
"370",20210104,"데브시스터즈",14900
"371",20210104,"데이드림엔터테인먼트",16150
"372",20210104,"데이타솔루션",7540
"373",20210104,"데이터스트림즈",6480
"374",20210104,"데일리블록체인",1055
"375",20210104,"덱스터스튜디오",6110
"376",20210104,"덴티스",1810
"377",20210104,"덴티움보통주",40700
"378",20210104,"도부마스크",4955
"379",20210104,"도이치모터스",7160
"380",20210104,"도화엔지니어링보통주",8260
"381",20210104,"동구바이오제약",24900
"382",20210104,"동국산업",3385
"383",20210104,"동국알앤에스",3335
"384",20210104,"동국에스엔씨",7980
"385",20210104,"동국제강보통주",8680
"386",20210104,"동국제약",28400
"387",20210104,"동방보통주",2240
"388",20210104,"동방선기",3125
"389",20210104,"동방아그로보통주",6380
"390",20210104,"동부건설보통주",13750
"391",20210104,"동서보통주",33800
"392",20210104,"동성제약보통주",12500
"393",20210104,"동성코퍼레이션보통주",4905
"394",20210104,"동성화인텍",12150
"395",20210104,"동성화학보통주",16000
"396",20210104,"동신건설",35800
"397",20210104,"동아쏘시오홀딩스보통주",123500
"398",20210104,"동아에스티보통주",92900
"399",20210104,"동아엘텍",8320
"400",20210104,"동아지질보통주",16500
"401",20210104,"동아타이어공업보통주",9830
"402",20210104,"동아화성",10900
"403",20210104,"동양고속보통주",24550
"404",20210104,"동양물산기업보통주",1585
"405",20210104,"동양보통주",1215
"406",20210104,"동양생명보험보통주",3495
"407",20210104,"동양에스텍",3100
"408",20210104,"동양이엔피",19750
"409",20210104,"동양철관보통주",1150
"410",20210104,"동양파일",3270
"411",20210104,"동양피스톤보통주",6020
"412",20210104,"동우팜투테이블",3340
"413",20210104,"동운아나텍",12400
"414",20210104,"동원F&B보통주",176500
"415",20210104,"동원개발",5230
"416",20210120,"동원금속보통주",1045
"417",20210104,"동원산업보통주",219500
"418",20210104,"동원수산보통주",9220
"419",20210104,"동원시스템즈보통주",37450
"420",20210104,"동일고무벨트보통주",10350
"421",20210104,"동일금속",11600
"422",20210104,"동일기연",12100
"423",20210104,"동일산업보통주",76100
"424",20210104,"동일제강보통주",2500
"425",20210104,"동일철강",5910
"426",20210104,"동진쎄미켐",37000
"427",20210104,"동화기업",55300
"428",20210105,"동화약품보통주",19400
"429",20210104,"두산밥캣보통주",29400
"430",20210104,"두산보통주",52000
"431",20210104,"두산인프라코어보통주",7910
"432",20210104,"두산중공업보통주",13900
"433",20210104,"두산퓨얼셀보통주",56300
"434",20210104,"두올보통주",3520
"435",20210104,"듀오백",4150
"436",20210104,"듀켐바이오",9900
"437",20210104,"드래곤플라이",2465
"438",20210104,"드림시큐리티",3980
"439",20210104,"드림씨아이에스",19650
"440",20210104,"드림어스컴퍼니",5220
"441",20210104,"드림텍보통주",11800
"442",20210104,"디딤",2145
"443",20210104,"디바이스이엔지",55500
"444",20210104,"디비금융제8호기업인수목적",2010
"445",20210104,"디스플레이테크",3910
"446",20210104,"디씨엠보통주",12200
"447",20210104,"디아이보통주",4855
"448",20210104,"디아이씨 보통주",2980
"449",20210104,"디아이티",9200
"450",20210104,"디알비동일보통주",6930
"451",20210104,"디알젬",17100
"452",20210104,"디알텍",1415
"453",20210104,"디앤씨미디어",39700
"454",20210104,"디에스씨인베스트먼트",5960
"455",20210104,"디에스케이",6480
"456",20210104,"디에이치피코리아",8290
"457",20210104,"디에이테크놀로지",7280
"458",20210104,"디에이피",4040
"459",20210104,"디엔에이링크",8850
"460",20210104,"디엔에프",21750
"461",20210104,"디엠에스",9100
"462",20210104,"디엠티",2810
"463",20210104,"디오",31250
"464",20210104,"디와이보통주",4535
"465",20210104,"디와이파워보통주",11850
"466",20210104,"디와이피엔에프",19800
"467",20210104,"디이엔티",9300
"468",20210104,"디자인",6430
"469",20210224,"디젠스",1000
"470",20210104,"디지아이",2485
"471",20210104,"디지캡",4570
"472",20210104,"디지탈옵틱",1080
"473",20210104,"디지털대성",8070
"474",20210104,"디지틀조선일보",3150
"475",20210104,"디케이락",15150
"476",20210104,"디케이앤디",10350
"477",20210104,"디케이티",23450
"478",20210104,"디티알오토모티브보통주",25950
